Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
3Cnergy,502,CNER.SI,42.939,0.162,,,Real Estate,44,0,-12.5,180,75,-23588.89,-61.65,,69.34,-20.98,0.23
8Telecom,AZG,ETEL.SI,7.902,0.802,,,Technology Equipment,57,,,,,-65.84,,,,-26.76,
A-Smart,BQC,ASMA.SI,38.011,5.365,238.32,,Industrial & Commercial Services,61,-15,-19.05,-21.54,-21.54,3.91,1.04,49.36,6.66,,4.29
A-Sonic Aero,BTJ,ASON.SI,19.858,301.644,2.23,2.94,Transportation,57,1.49,36,44.68,36,3.45,21.19,1.52,25.11,,0.3
ABR,533,ABRH.SI,140.697,102.194,60.19,1.79,Food & Beverages,56,0,27.27,7.69,-6.67,2.81,2.61,5.77,33.03,,1.58
Abterra,L5I,ABTR.SI,13.142,50.177,,,Energy - Fossil Fuels,-6,,,,,-5.67,-7.07,,0,-74.89,
Abundance Intl,541,ABUN.SI,21.826,508.793,,,Industrial & Commercial Services,65,17.24,3.03,240,209.09,-0.67,-13.29,,41.33,4.31,0.24
Accordia Golf Tr,ADQU,ACCO.SI,20.206,659.689,0.94,233.7,Cyclical Consumer Services,61.3,0,8.26,32.64,33.84,3.33,2.66,0.23,74.8,0.93,0.02
Accrelist Ltd,QZG,ACCR.SI,9.212,138.869,,,Technology Equipment,,-13.16,-25,32,-52.86,-8.14,-28.68,,51.22,-16.9,0.41
Ace Achieve Info,A75,ACEA.SI,5.762,37.477,,,Technology Equipment,42,,,,,2.42,0.99,3.72,39.82,-33.16,0.13
Acesian Partners,5FW,ACES.SI,5.483,8.554,,,Industrial & Commercial Services,68,-15.38,-21.43,120,0,-99.7,-85.94,,4.58,-60.4,
Acma,AYV,ACMA.SI,3.858,72.424,,,Industrial Goods,67,1.11,4.6,-7.14,-24.17,-14.57,-50.19,,62.32,,0.37
Acromec,43F,ACRO.SI,17.598,31.564,,,Industrial & Commercial Services,61,4.1,24.51,144.23,41.11,-1.35,-6.59,62.72,49.23,0.39,2.28
Addvalue Tech,A31,AVAU.SI,43.458,13.072,16.51,,Technology Equipment,56,-8.33,-12,4.76,0,19.02,27.86,11.92,59.68,,6.04
Advanced,BLZ,ADVA.SI,9.006,94.404,1.22,,Energy - Fossil Fuels,64,0,1.16,128.95,-3.33,8.25,12.51,0.95,22.19,,0.23
Advanced Systems,5TY,ADSA.SI,22.324,10.773,,,Technology Equipment,68,0,0,0,0,-27.8,-137.22,,58.82,,5.21
Advancer Global,43Q,ADVN.SI,25.489,64.194,12.72,7.33,Industrial & Commercial Services,80,-2.88,34.67,-32.21,-42.29,3.36,4.45,5.48,8.34,-6.78,0.97
Adventus,5EF,ADVE.SI,23.407,0,171.43,,Industrial Goods,58,-25,-47.83,140,140,,0.79,88.78,65.24,,0.51
AEI,AWG,AEIC.SI,51.382,8.692,,,Mineral Resources,39,-1.11,-1.11,-1.11,30.88,-64.97,-12.17,,20.63,0.67,0.69
AEM,AWX,AEM.SI,1000.796,446.194,11.57,2.24,Technology Equipment,89,-1.09,16.4,71.56,187.3,19.22,58.7,10.74,2.99,,2.62
AF Global,L38,AFGL.SI,77.062,21.145,,6.85,Cyclical Consumer Services,66,-8.75,-29.81,-37.07,-44.27,-14.16,-0.88,53.4,10.73,,0.63
AGV,1A4,AGVG.SI,14.676,12.197,,,Mineral Resources,55,-8.33,-12,10,-26.67,-44.53,,,,291.56,
AIMS APAC Reit,O5RU,AIMA.SI,869.195,115.511,10.69,6.2,Real Estate,86.3,3.36,2.5,4.24,-10.22,69.7,8.53,,63.89,-3.53,1.08
AIMS Property,BVP,APW.AX,61.998,-2.933,,1.46,Real Estate,,3.73,11.2,15.83,-2.8,,-3.81,,0,-125.78,0.55
AliPictures HKD,S91,ALIB.SI,30710.041,3326.878,,,Cyclical Consumer Services,,-5.26,12.5,-23.08,-42.31,-40.55,-8,,4.91,-5.25,
Alita Resources,40F,ALIT.SI,114.822,69.751,,,Mineral Resources,48,,,,,-69.42,-43.51,,15,,6.13
Alliance HC,MIJ,ALLA.SI,39.083,42.784,16.74,1.81,Healthcare Services,51,4.44,25.33,-4.57,1.62,6.06,13.27,7.77,30.94,17.18,2.43
Allied Tech,A13,ALLT.SI,19.353,116.551,,,Industrial Goods,71,,,,,-24.69,-33.79,,13.65,0.25,
Alpha Energy,5TS,ALPH.SI,72.088,0.564,,,Energy - Fossil Fuels,56,0,0,0,14.29,-45972.79,,,14.81,,0.57
Alset,40V,ALSE.SI,94.545,16.917,,,Real Estate,75,-3.17,-32.97,90.63,29.79,-64.4,-36.85,,8.15,-58.14,0.8
Amara,A34,AMRA.SI,193.274,82.749,9.6,2.99,Cyclical Consumer Services,71,-2.9,-6.94,2.67,-23.57,24.43,5.21,6.14,97.63,,0.68
Amcorp Global,S9B,AMCO.SI,79.991,66.38,,,Real Estate,83,0,0,0,34.59,-78.33,-40.27,,156.19,,0.52
AMOS,RF7,AMOS.SI,51.947,128.622,,,Industrial Goods,57,0,-50,-33.33,-35.48,-8.73,-9.44,,41.34,,0.65
Amplefield Ltd,AOF,AMPL.SI,29.72,4.106,20.89,,Real Estate,77,0,6.45,10,65,35.46,2.15,19.8,2.91,,0.32
AMTD IB OV,HKB,,,,,,,,,,,,,,,,,
AnAn Intl,Y35,ANAN.SI,126.837,1956.783,,,Energy - Fossil Fuels,32,7.14,-36.17,400,1400,0.11,-1.48,9.73,94.76,-22.92,0.18
Anchor Resources,43E,ANCH.SI,8.742,0.914,,,Mineral Resources,76,-14.29,20,50,-14.29,-521.49,-209.48,,177.94,-25.9,3.61
Anchun Intl,BTX,ANIH.SI,11.141,27.924,25.47,10.73,Industrial Goods,50,-4.35,4.76,7.32,-6.38,1.74,0.84,4.33,0,,0.17
AnnAik,A52,AAIK.SI,16.393,52.299,6.91,5.36,Mineral Resources,53,-12.5,-6.67,-6.67,-8.2,6.65,3.75,2.61,58.67,-7.87,0.57
Annica,5AL,ANHL.SI,16.675,10.05,,,Energy - Fossil Fuels,51,0,0,0,0,-7.69,-17.11,,24.97,28.78,3.58
Aoxin Q & M,1D4,AOXI.SI,63.136,25.131,,,Healthcare Services,78,22.22,26.92,-5.71,-8.33,-14.54,-7.75,,21.69,,1.57
AP Oil,5AU,AOIL.SI,23.034,61.218,8.88,5.36,Chemicals,68,-3.45,-3.45,-12.5,-21.35,4.24,4.59,5.51,14.62,-5.86,0.58
APAC Realty,CLN,APAC.SI,126.095,374,7.57,5.63,Real Estate,56,1.43,-4.05,9.23,-31.73,4.42,11.39,6.39,44.45,,1.35
ARA HTrust USD,XZL,ARAU.SI,170.203,125.474,,,Real Estate,66.2,-3.23,-24.05,-33.33,-65.71,-12.51,-3.38,21.7,49.5,,1.03
ARA LOGOS Log Tr,K2LU,ARAL.SI,698.128,112.708,,6.81,Real Estate,81.6,1.59,7.56,21.9,-12.33,-6.65,-1.69,,72.14,,1.06
Arion Ent,YYB,ARIO.SI,5.604,0.869,,,Cyclical Consumer Services,,-25,-25,-14.29,0,-119.22,-42.89,,0,-12.75,1.91
Artivision Tech,5NK,ARTT.SI,10.787,0,,,Holding Companies,65,100,50,100,20,,,,,,
Ascendas Reit,A17U,AEMN.SI,11693.367,990.617,21.04,,Real Estate,94.4,-1.52,-1.82,11.76,5.48,53.42,7.02,92.07,71.11,,1.42
Ascendas-iTrust,CY6U,AINT.SI,1640.935,200.068,7.12,6.03,Real Estate,84.4,7.52,9.16,13.49,-8.33,114.86,18.78,7.13,76.79,,1.38
Ascott Trust,HMN,ASCO.SI,2762.789,475.038,290.85,5.65,Real Estate,,-6.32,-6.81,0.56,-35.51,6.93,0.33,49.21,62.38,,0.9
Asia Enterprises,A55,AEHL.SI,43.765,52.309,46.21,3.91,Mineral Resources,65,-4.48,5.79,11.3,-8.57,1.69,1.02,11.77,11.44,,0.57
Asia Vets,5RE,ASIV.SI,9.864,4.105,14.76,,Healthcare Services,59,-1.39,-21.11,12.7,-45.38,16.54,3.56,9.23,2.42,23.94,
AsiaMedic,505,ASIM.SI,24.632,15.976,,,Healthcare Services,67,0,-4.35,144.44,67.45,-10.04,-22.28,26.54,233.91,-14.7,1.15
Asian Healthcare,1J3,ASAI.SI,88.907,12.205,21.71,6.67,Healthcare Services,80,-1.52,6.56,11.43,-15.22,23.49,15.68,30.64,0,12.35,5.49
Asian Micro,585,AMHL.SI,3.192,3.958,50,,Industrial & Commercial Services,52,0,-25,-25,0,8.86,1.24,6.97,13.84,-11.25,2.37
Asian Pay Tv Tr,S7OU,ASIA.SI,223.988,302.171,11.67,9.27,Cyclical Consumer Services,53.3,-0.8,-2.36,-4.62,-26.19,5.22,1.37,2.15,142.09,-0.82,0.23
AsiaPhos,5WV,ASIP.SI,17.536,1.107,,,Mineral Resources,64,-15,-22.73,-19.05,112.5,-356.28,-5.52,,8.68,39.25,0.1
Asiatic,5CR,ATIC.SI,7.782,48.016,,,Industrial Goods,61,-16.67,-16.67,-28.57,25,-28.03,-39.27,,55.31,27.48,0.26
Asiatravel.com,5AM,ATVE.SI,12.573,94.353,,,Software & IT Services,34,,,,,-34.11,-144.67,,4.91,-33.58,0.98
ASL Marine,A04,ASLM.SI,20.217,243.637,,,Industrial Goods,86,-11.11,6.67,-8.57,-20,-7.55,-16.33,0.48,231.36,-22.13,0.21
Aspen,1F3,ASPE.SI,231.18,72.86,,,Real Estate,64,35.84,267.19,291.67,94.21,-3.48,-1.77,178.38,71.53,,
Aspial,A30,ASPA.SI,276.317,481.982,80.23,5.28,Real Estate,66,-2.07,-5.33,-6.58,-13.94,2.22,1.07,6.42,340.71,,1.12
Astaka,42S,ASTA.SI,164.582,65.933,,,Real Estate,80,,,,,-8.98,-19.73,,22.47,-32,4.35
ASTI,575,ATIH.SI,19.095,58.256,15.73,89.29,Technology Equipment,74,-9.68,-6.67,12,-6.67,13.79,1.55,1.34,11.15,,0.23
Atlantic Nav,5UL,ATLA.SI,20.391,107.001,,,Energy - Fossil Fuels,46,-2.5,8.33,18.18,0,-0.27,-0.26,1.68,95.31,20.27,
AusGroup,5GJ,AUSG.SI,61.084,252.12,,,Energy - Fossil Fuels,56,-9.09,-20,-16.67,-9.09,-24.19,-95.45,,76.51,-8.39,0.89
